message,is_toxic
This and below assignments also should be removed,0
this should be flavor_id = self.flavor_id,0
bool session_adopted_ = false;,0
"nit: Starting C++11, this could be done directly in the declaration. ( bool have_token = false;)",0
"I am confused.
 
 This is the tar process we are checking. If it has exited, why do we need to kill it? its already dead?
 
 We already check the exit code in finish_subprocess.",0
"Yuck. Use %.70s, which will do this more gracefully",1
"Use mock_thread_instance = mock.MagicMock(isAlive=mock.MagicMock(return_value=False))
 
 remove L69",0
SkRect local_bounds = gfx::RectToSkRect(GetLocalBounds());,0
worse!!!!!!! how does setuptools/cliff even do that with the '_' -> ' ' mapping in place?,0
"so you have rename fields to obj_fields because of here, right?",0
Unfinished docstring.,0
"This _exec_ipmitool() method(will attempt 3 times(L101) if the command fail, so for our validate method, that is no need to have try with 3 times, so how do you think if we add new parameter for _exec_ipmitool() method, default is 3 as below?
 
  def _exec_ipmitool(driver_info, command, attempts=3):
  ...
 
 so we just call it with ""attempts=1"" here for validation action:
  
  _exec_ipmitool(driver_info, ""mc info"", attempts=1)",0
remove the white space here,0
nit: get*_() instead of compute_(). We're not computing anything.,0
this is useless if you use a boolean.,0
"Indeed, mpu_protect_ram() already did the same thing in commom/system.c. I think this part is useless.",0
"Oh, stupid me, all I did was make it dereference invalid pieces of memory if the addresses are too big!

I did manually test this and I found the expected partition size.
Unfortunately, neither Storm nor any of our other upcoming Brillo devices have NAND big enough to trigger this. Proto 0.2's NAND is 8Gb (that's gigabits) and all the production devices will be much smaller.",0
"Instead of wrap_delimiter(), utils.wrap_delimiter() should be used.
 For all wrap_delimiter() calls below, they should be replaced by utils.wrap_delimiter() .",0
you have deleted _prepare_test,0
Remove VMAX,0
"Checking the _REG_PAGE_COUNT register is more reliable. Raising an exception skips the following StopDumpingToMemory call, meaning that the audio continues to dump.",0
"No, the internal is for services.
 
 Splitting on ports is a dumb way to do security, but we are stuck with it for now",0
"But you still have the data() used as null-terminated string below. StringPiece::data() generally does not guarantee the terminator.

Keep this as is, we will deal with it later.",0
useless braces,0
This one looks to be useless.,0
nit: validating *a* request body,0
function keyword is a bashism and IMHO looks ugly compared to 'usage() {'.,1
this override seems useless,0
"As we're moving to have tenant in headers, should we probably kill it from the beginning?",0
"because this fix modify string format from "" xxxxxx, DUMMY"" to "" xxx DUMMY xxx"", (the original code use ',' instead of '%', then 'DUMMY') , I want to make sure the string is right formatted. 
 
 for example:
 
 original one:
 >>> print ""444 %s 444"", ""aaa""
 444 %s 444 aaa
 
 now:
 >>> print ""444 %s 444"" % ""aaa""
 444 aaa 444",0
"I think trying to establish ""this->pData == nullptr"" as a valid state is going down a rat's hole (having to adapt all places that read pData) for no benefit (see how making operator+= fulfil the strong guarantee, which is desirable, makes the demand for a ""this->pData == nullptr"" state not arise)",0
/It may happen that a service die/A service may die/,0
"Hehe, why are you always right? :-) I should do some pair programming with you to avoid doing stupid stuff earlier ;-) Thank you!",0
uint8_t constexpr kUninit = 0xFF;,0
should this maybe be called rootwrap-xenapi? or rootwrap-xen-dom0? I'm wondering if dom0 isn't distinct enough to non-xen for them to know to ignore this file.,0
"For this, you'd just check the whether the size of |entries| is === 1. Another option coul dbe to move the checks to the caller, but that might be more clumsy.",1
"Okie dokie. We should probably note that in reflection docstring, pretty sure thats cause py2.x is dumb, ha.",0
Useless trailing '-'. See the implementation of rand_name(),0
"In the future, we should look into seeing if we make this a little cleaner instead of a crap load of info() lines.",1
Could you format this line break inside the tuple of arguments and get rid of this backslash if you do another patch?,0
I'd like to see a lot of these mocks moved to tests/mock/{mock_file}.py,0
"the comment is... useless. the function is called 'validate_hash', obviously we are validating an hash here :-)",0
"What test harness are you using for this? Why not use unittest2? It is already installed and has a consistent interface and output. [Just curious... I don't see (from this commit) how these tests are being executed, so I thought I would ask.]",0
Whitespaces should be removed.,0
"the name is ugly, what can't it be openstack-ec2-api-service?",1
All you do in the interrupt handler is call wake_up.  Looks like you do not need a threaded irq.,0
lazy-lazy =),1
must be executed,0
"yeah that sucked, fixed
 
 Done.",1
"I'm not sure what you mean by reference error..
 
 How about from line 220~
 
  if lock_file_prefix:
  if lock_file_prefix.endswith('-'):
  lock_file_name = '%s%s' % (lock_file_prefix, safe_name)
  else:
  lock_file_name = '%s-%s' % (lock_file_prefix, safe_name)
  else:
  lock_file_name = safe_name",0
useless braces,0
"nit: use std::make_unique here
 
  _syncedSessionsObserver = std::make_unique<synced_sessions::SyncedSessionsObserverBridge>(
  self, _browserState);",0
fake.VOLUME_ID,0
"I have a doubt (which could be dumb). 'fqdn' should be resolved with in the namespace context or the host context ?
 In this fix, I am assuming it to be host context.",0
"style is camel case, myClientSecret, myClientId, myRefreshToken",0
FK should be data_sources.id,0
"@zhiyan, thanks for helping explanation. Overall it's correct. And you're suggestion makes sense for me, will improve it in next PS.
 
 @iccha, actually, this patch is related to https://review.openstack.org/#/c/63707/ in that patch, we're trying to set image size if the image is transferring from 'queued' to 'active' directly when user add/update locations for the image. The try/except can make sure we can iterate all the locations to get an available image. I improve it at here since it's breaking some unit test cases since we're introducing some new behaviour by this change. Does it make sense for you?",0
"I think you're just missing my point, or I am stupid enough to be unable to convey it properly.",0
LOL you called my decorator stupid...=),1
This should be a URIOpt instead of StrOpt.,0
"It should be
 
  testr_args += "" %s"" % set_name",0
"This line is super horrible and needs to die! Please do something like:
  
  attempts = 1
  if retries >= 1:
  attempts = retries + 1
 
 or something along those lines.
 
 also - a test would be nice (there are already tests that test some cases of this so just add another one in test_compute_mgr.py",1
consider rename to current_l3_agents,0
I think the formatting may have gotten screwed up (or Gerrit made it look ugly),1
wrap the body of your commit messages at 72 characters.,0
nit - should be without '{' and '}'?,0
Please clean up after this fails before returning.,0
Might be cleaner to write an OCP that wraps this and prunes out the downloads... I know that's a lot more code/sucks but that's probably the cleanest way?  Can you just put this in the factory?  Or put it at each client?,1
"Is there any reason you don't fail if this is not true? Seems like a mangled header would get by this check.
 
 nit: startswith may read cleaner",0
"You can just leave this uncommented, it works with NO_THREAD_SAFETY_ANALYSIS",0
nit: these migth be the first check in the routine (I think we'll hit this 99% of cases),0
this should be setup_receiver (PEP8),0
"ooh, burn!",1
"nit: A little ugly / confusing why you don't need this in write_len.  Maybe just store addr in a temp variable and put it in both ""if"" statements?",0
these downcasts need to be static_cast now,0
why aren't you using $ACTUAL_FILTERS instead of writing them by hand?,0
"Yes, and ... crap.",1
"die unrelated change!!!. :)
  __
  ____________| &|____
  unrelated change /_____________\ &&&&|
  \_____________/ Â ____|
  |__|
 
 don't ask... I had that sword in my editor yet...",0
"Line 1797 whitespace, plus four other trailing whitespace instances highlighted above, seems to be causing the checkniceness failure.",0
stupid style nit - list comprehension is slightly nicer.,1
"Instead of passing every mock, every time to this function, you could do something like that:
 
  def setUp(self):
  ...
  patcher = mock.patch.object(SomeObjcet, 'qwerty')
  self.mock_request = patcher.start()
 
  def configure_mock(self, *responses):
  ...
  self.mock_request.return_value = fake_response
 
 
 Remember to stop all mocks in tearDown.",0
"Instead of CloudDBInstance, I would use CloudDatabase.
 
 Needs docstring.",0
Should we assert anything here? Or that's already all done by findByFileName?,0
nit: newline after is_source_touch_event_set_non_blocking.,0
i'm not entirely sure how to run a test wit a trybot w/out messing up the live system ...,0
"Wouldn't it be better to re-sync the databases? Neutron DB is the master. We don't want to rollback a change just because the slave couldn't commit it.
 
 If Neutron allowed the change, Dragonflow must accept it one way or another.",0
remove ws here an below.,0
Here should be admin_snapshots_client.reset_snapshot_status,0
"that english language stuff always confused the hell out of me....yep, I kept wordsmithing this line and still didn't like it.",1
"all the code you have inline below should be refactored and put into a main function

 main() {
   ...
 }
 main ""$@""",0
"OK - I suggest you actually write 'refers to the config element' here, then, otherwise dumb people like me will wonder where the pool table is. (In the snooker room, presumably.)",0
private_key=keypair['private_key'],0
doh. its awful! it should not be our work...,1
"Please, remove indention of commit message.",0
What if nStartRow<=0 or nStartRow>MAXROW+1? The entire loop wouldn't need to be executed then.,0
"ah, shit. will fix.",1
"silly nit, this isn't valid JSON, you're missing a closing ]",1
"#ifdef CONFIG_PM_RUNTIME

if you are feeling very anal about saving 1 byte...",1
i'm wondering if there isn't a cleaner way to do this? i'm very much abusing jsonutils here!,0
"Holy cow, when does this happen? Just tests? Any actual WSGI server that does this is horribly broken.",1
IIFE is malformed.. should be })();,0
"This cast is unavoidable, since params is a mojom struct. Ditto below.",0
"silly me, that was the initial idea",0
pid,0
much better (that acoles is pretty darn good huh...),1
"I really don't like this, we should remove all of them instead of adding more.",0
"I have no idea why $(LOCAL_PATH)/genserev.py works...

Why is LOCAL_PATH here have tools it..??

This worked locally, do I have some cruft in out I need to clean up to see this fail properly?",0
"I like this, and my only real feedback is to wonder if this url should look something like:
 
 GET /v2.0/usages/network/:id
 
 ... with the assumption that that allows easier expansion to other forms of usage blobs as desired.
 
 (On the other hand, I don't want to trigger a huge debate on a general usage mechanism that derails a working and small primitive that has value today.)",0
"This should be just using ""trans"" instead of ""blocktrans""",0
Yes you do. You have to specify which process and which signals you actually allow kill to interact with.,0
"Are you sure this leads to a color that makes the white letter readable?
 You need to do something on DrawFallbackIconLetter to draw either WHITE or BLACK depending on the luminosity of the background.
 
 Based on W3C recommendations, here's what you do:
 
 def luminance(r, g, b):
  for each c in r,g,b:
  c = c / 255.0
  if c <= 0.03928 then c = c/12.92 else c = ((c+0.055)/1.055) ^ 2.4
  L = 0.2126 * r + 0.7152 * g + 0.0722 * b
  return L
 
 
 l = luminance(r, g, b)
 if l > 0.179 use #000000 else use #ffffff
 
 That's the way to go.
 
 There's already a GetRelativeLuminance that you could use instead, but it's garbage. :)",0
"this kind of string-based flow manipulation should be under ovs_ofctl/.
 probably ofswitch.py",0
"LOG.error instead of LOG.exception
 
 LOG.exception should be used when you have a traceback",0
"You do leave the SPI_TX_CH_ON bit set, though.  As a SPI noob I guess I would have thought that you'd turn it off when you flip RX on.  ...and if you actually used the packet count I think you _could_ turn it off.

The code will end up putting 0xff on the bus (I think) when you sit and read.",0
I think port_status_notifier should still be a member of mech_driver (be self.port_status_notifier). Otherwise it may be garbage collected and stop working.,0
Done,0
"Chris, just a question about 'intrusive', how can I understand it? Why it sucks.",1
Damn! Thought I'd gotten rid of it everywhere. New patch incoming,1
useless line,0
"damn, and I thought I had gotten it right :P",1
"Missing Signed-off-by:
(you can both yours and mine)

git commit --amend -s
will add yours automatically",0
"Oh, yes, it was inconsistent already. I just copy pasted the previous code. Silly me.",1
nit: /* isTest */,0
Die. Die. Die XML. I'd remove this hideous reminder of a long-lost sad world.,0
"you can use:
 
  if self.baymodel_attr and getattr(bymodel, self.baymodel_attr, None):",0
